"";"ID";"run";"cond";"pros";"sem";"sentenceType";"voice";"voiceGender";"sentenceNb";"stimuli";"scoreV";"scoreA";"scoreVnv";"scoreAnv"
"5201";"19";"1";"sn";"m";"n";"statement";"f3";"f";"3";"SNmonf3_3.wav";3;1;"3";"1"
"5202";"19";"1";"sp";"p";"p";"statement";"h1";"h";"10";"SPposh1_10.wav";2;4;"2";"4"
"5203";"19";"1";"sp";"p";"p";"statement";"f1";"f";"9";"SPposf1_9.wav";2;5;"2";"5"
"5204";"19";"1";"sn";"n";"n";"statement";"h1";"h";"11";"SNnegh1_11.wav";2;4;"2";"4"
"5205";"19";"1";"cp";"m";"p";"context";"h3";"h";"2";"CPh3_2.wav";3;1;"3";"1"
"5206";"19";"1";"cn";"m";"n";"context";"f4";"f";"5";"CNf4_5.wav";3;1;"3";"1"
"5207";"19";"1";"sn";"m";"n";"statement";"h1";"h";"12";"SNmonh1_12.wav";3;3;"3";"3"
"5208";"19";"1";"sp";"p";"p";"statement";"h1";"h";"12";"SPposh1_12.wav";5;4;"5";"4"
"5209";"19";"1";"sn";"p";"n";"statement";"h3";"h";"3";"SNposh3_3.wav";4;3;"4";"3"
"5210";"19";"1";"sn";"m";"n";"statement";"f2";"f";"13";"SNmonf2_13.wav";3;2;"3";"2"
"5211";"19";"1";"cpseudo";"m";"pseudo";"context";"f3";"f";"4";"Cpseudof3_4.wav";3;1;"3";"1"
"5212";"19";"1";"sp";"n";"p";"statement";"h1";"h";"10";"SPnegh1_10.wav";2;3;"2";"3"
"5213";"19";"1";"sn";"p";"n";"statement";"h1";"h";"9";"SNposh1_9.wav";2;4;"2";"4"
"5214";"19";"1";"sp";"m";"p";"statement";"f2";"f";"16";"SPmonf2_16.wav";3;4;"3";"4"
"5215";"19";"1";"sn";"n";"n";"statement";"h4";"h";"6";"SNnegh4_6.wav";1;4;"1";"4"
"5216";"19";"1";"spseudo";"m";"pseudo";"statement";"h3";"h";"4";"Spseudomonh3_4.wav";3;3;"3";"3"
"5217";"19";"1";"spseudo";"n";"pseudo";"statement";"h3";"h";"2";"Spseudonegh3_2.wav";4;4;"4";"4"
"5218";"19";"1";"sp";"m";"p";"statement";"f3";"f";"2";"SPmonf3_2.wav";3;4;"3";"4"
"5219";"19";"1";"sp";"n";"p";"statement";"f2";"f";"16";"SPnegf2_16.wav";2;4;"2";"4"
"5220";"19";"1";"sp";"p";"p";"statement";"f1";"f";"10";"SPposf1_10.wav";5;5;"5";"5"
"5221";"19";"1";"sn";"p";"n";"statement";"h4";"h";"7";"SNposh4_7.wav";4;5;"4";"5"
"5222";"19";"1";"sp";"p";"p";"statement";"h2";"h";"16";"SPposh2_16.wav";5;4;"5";"4"
"5223";"19";"1";"cn";"m";"n";"context";"h1";"h";"10";"CNh1_10.wav";3;2;"3";"2"
"5224";"19";"1";"cp";"m";"p";"context";"h3";"h";"3";"CPh3_3.wav";3;2;"3";"2"
"5225";"19";"1";"sp";"m";"p";"statement";"h1";"h";"11";"SPmonh1_11.wav";3;1;"3";"1"
"5226";"19";"1";"sn";"m";"n";"statement";"h1";"h";"9";"SNmonh1_9.wav";3;2;"3";"2"
"5227";"19";"1";"sp";"n";"p";"statement";"h1";"h";"9";"SPnegh1_9.wav";2;3;"2";"3"
"5228";"19";"1";"sp";"p";"p";"statement";"h3";"h";"2";"SPposh3_2.wav";5;4;"5";"4"
"5229";"19";"1";"sp";"m";"p";"statement";"h3";"h";"2";"SPmonh3_2.wav";3;3;"3";"3"
"5230";"19";"1";"sp";"p";"p";"statement";"f1";"f";"11";"SPposf1_11.wav";2;4;"2";"4"
"5231";"19";"1";"cn";"m";"n";"context";"h4";"h";"7";"CNh4_7.wav";3;2;"3";"2"
"5232";"19";"1";"sp";"n";"p";"statement";"f2";"f";"15";"SPnegf2_15.wav";1;4;"1";"4"
"5233";"19";"2";"sn";"m";"n";"statement";"h1";"h";"10";"SNmonh1_10.wav";3;1;"3";"1"
"5234";"19";"2";"sn";"p";"n";"statement";"f2";"f";"13";"SNposf2_13.wav";4;4;"4";"4"
"5235";"19";"2";"cn";"m";"n";"context";"f3";"f";"3";"CNf3_3.wav";3;2;"3";"2"
"5236";"19";"2";"sp";"m";"p";"statement";"h4";"h";"7";"SPmonh4_7.wav";3;1;"3";"1"
"5237";"19";"2";"sp";"m";"p";"statement";"h2";"h";"15";"SPmonh2_15.wav";3;2;"3";"2"
"5238";"19";"2";"cn";"m";"n";"context";"h2";"h";"13";"CNh2_13.wav";3;3;"3";"3"
"5239";"19";"2";"sn";"p";"n";"statement";"f3";"f";"2";"SNposf3_2.wav";2;3;"2";"3"
"5240";"19";"2";"sp";"n";"p";"statement";"h1";"h";"12";"SPnegh1_12.wav";1;4;"1";"4"
"5241";"19";"2";"cn";"m";"n";"context";"f2";"f";"15";"CNf2_15.wav";3;1;"3";"1"
"5242";"19";"2";"cpseudo";"m";"pseudo";"context";"f3";"f";"3";"Cpseudof3_3.wav";3;4;"3";"4"
"5243";"19";"2";"sn";"n";"n";"statement";"h4";"h";"5";"SNnegh4_5.wav";2;4;"2";"4"
"5244";"19";"2";"cp";"m";"p";"context";"f3";"f";"4";"CPf3_4.wav";3;2;"3";"2"
"5245";"19";"2";"sp";"m";"p";"statement";"f3";"f";"4";"SPmonf3_4.wav";3;4;"3";"4"
"5246";"19";"2";"sn";"n";"n";"statement";"f4";"f";"8";"SNnegf4_8.wav";3;5;"3";"5"
"5247";"19";"2";"spseudo";"n";"pseudo";"statement";"h3";"h";"1";"Spseudonegh3_1.wav";3;4;"3";"4"
"5248";"19";"2";"sn";"n";"n";"statement";"f3";"f";"3";"SNnegf3_3.wav";NA;2;"2";"2"
"5249";"19";"2";"sn";"p";"n";"statement";"f2";"f";"14";"SNposf2_14.wav";4;3;"4";"3"
"5250";"19";"2";"cp";"m";"p";"context";"h2";"h";"13";"CPh2_13.wav";3;2;"3";"2"
"5251";"19";"2";"cn";"m";"n";"context";"h2";"h";"15";"CNh2_15.wav";3;3;"3";"3"
"5252";"19";"2";"sp";"m";"p";"statement";"f4";"f";"7";"SPmonf4_7.wav";NA;3;"2";"3"
"5253";"19";"2";"cp";"m";"p";"context";"f3";"f";"3";"CPf3_3.wav";3;3;"3";"3"
"5254";"19";"2";"spseudo";"p";"pseudo";"statement";"f3";"f";"1";"Spseudoposf3_1.wav";4;4;"4";"4"
"5255";"19";"2";"sn";"m";"n";"statement";"h3";"h";"4";"SNmonh3_4.wav";2;3;"2";"3"
"5256";"19";"2";"sn";"p";"n";"statement";"h3";"h";"4";"SNposh3_4.wav";3;3;"3";"3"
"5257";"19";"2";"sn";"n";"n";"statement";"h3";"h";"2";"SNnegh3_2.wav";3;1;"3";"1"
"5258";"19";"2";"sn";"n";"n";"statement";"h1";"h";"12";"SNnegh1_12.wav";2;4;"2";"4"
"5259";"19";"2";"spseudo";"m";"pseudo";"statement";"h3";"h";"2";"Spseudomonh3_2.wav";3;2;"3";"2"
"5260";"19";"2";"sp";"m";"p";"statement";"f1";"f";"10";"SPmonf1_10.wav";2;4;"2";"4"
"5261";"19";"2";"cp";"m";"p";"context";"h3";"h";"2";"CPh3_2.wav";3;2;"3";"2"
"5262";"19";"2";"cn";"m";"n";"context";"f3";"f";"1";"CNf3_1.wav";3;4;"3";"4"
"5263";"19";"2";"sp";"n";"p";"statement";"f3";"f";"3";"SPnegf3_3.wav";2;4;"2";"4"
"5264";"19";"2";"cp";"m";"p";"context";"h3";"h";"4";"CPh3_4.wav";3;3;"3";"3"
"5265";"19";"2";"cn";"m";"n";"context";"f3";"f";"4";"CNf3_4.wav";3;3;"3";"3"
"5266";"19";"2";"cp";"m";"p";"context";"h2";"h";"15";"CPh2_15.wav";3;4;"3";"4"
"5267";"19";"2";"sp";"m";"p";"statement";"f4";"f";"8";"SPmonf4_8.wav";3;5;"3";"5"
"5268";"19";"2";"sp";"n";"p";"statement";"h4";"h";"5";"SPnegh4_5.wav";2;4;"2";"4"
"5269";"19";"2";"sn";"n";"n";"statement";"h4";"h";"7";"SNnegh4_7.wav";3;5;"3";"5"
"5270";"19";"2";"sp";"n";"p";"statement";"f1";"f";"9";"SPnegf1_9.wav";2;4;"2";"4"
"5271";"19";"2";"sn";"m";"n";"statement";"h4";"h";"8";"SNmonh4_8.wav";3;2;"3";"2"
